question_id,construction_name,construction_formula,level,category,function,n_selecting,n_annotators,endorsement_rate
63,PronounSubjectBeQuestions,(WH) BE SUBJ (COMP),A1,PRONOUNS,Referring to entities,1,2,0.5
63,PronounSubjectBeQuestions,(WH) BE SUBJ (COMP),A1,PRONOUNS,Specifying information,1,2,0.5
63,PronounSubjectBeQuestions,(WH) BE SUBJ (COMP),A1,PRONOUNS,Situating events in time,1,2,0.5
63,PronounSubjectBeQuestions,(WH) BE SUBJ (COMP),A1,PRONOUNS,Situating entities in space,1,2,0.5
64,PronounSubjectItForFirstPerson,it is me/N.PROP,A1,PRONOUNS,Referring to the acting or experiencing entity,1,2,0.5
64,PronounSubjectItForFirstPerson,it is me/N.PROP,A1,PRONOUNS,Referring to entities,1,2,0.5
64,PronounSubjectItForFirstPerson,it is me/N.PROP,A1,PRONOUNS,Referring back to entities,1,2,0.5
65,PronounSubjectStatements,SUBJ V,A1,PRONOUNS,Referring to the acting or experiencing entity,2,2,1.0
65,PronounSubjectStatements,SUBJ V,A1,PRONOUNS,Referring to self-directed actions,2,2,1.0
65,PronounSubjectStatements,SUBJ V,A1,PRONOUNS,Referring to third-person subjects,2,2,1.0
65,PronounSubjectStatements,SUBJ V,A1,PRONOUNS,Referring to entities,1,2,0.5
66,ProperNoun,N.PROPER,A1,NOUNS,Referring to entities,2,2,1.0
66,ProperNoun,N.PROPER,A1,NOUNS,Providing detail,1,2,0.5
67,QuantifierWithPluralNoun,QUANT N.PL,A1,DETERMINERS,Expressing quantity,2,2,1.0
68,QuantifierWithSingularNoun,QUANT N.SG,A1,DETERMINERS,Expressing quantity,2,2,1.0
68,QuantifierWithSingularNoun,QUANT N.SG,A1,DETERMINERS,Referring to entities,2,2,1.0
69,ReallyMidAdverb,SUBJ really V,A1,ADVERBS,Expressing degree,2,2,1.0
69,ReallyMidAdverb,SUBJ really V,A1,ADVERBS,Expressing progression,1,2,0.5
69,ReallyMidAdverb,SUBJ really V,A1,ADVERBS,Expressing wishes,1,2,0.5
70,SentenceAndSentence,SENTENCE and SENTENCE,A1,CONJUNCTIONS,Framing or linking information,2,2,1.0
70,SentenceAndSentence,SENTENCE and SENTENCE,A1,CONJUNCTIONS,Specifying information,1,2,0.5
71,ThereAre,there are NP,A1,VERBS,Referring to entities,2,2,1.0
71,ThereAre,there are NP,A1,VERBS,Expressing quantity,1,2,0.5
72,ThereIs,there is NP,A1,VERBS,Referring to entities,2,2,1.0
73,TimeEndAdverb,CLAUSE ADV.TIME,A1,ADVERBS,Situating events in time,2,2,1.0
74,VerbInfinitiveForm,V to V.INF,A1,VERBS,"Referring to actions, events or states",1,2,0.5
74,VerbInfinitiveForm,V to V.INF,A1,VERBS,"Referring to actions, states or relations",1,2,0.5
75,LikePlusToOrIng,like V.INF / V-ing,A1,VERBS,Expressing preference,2,2,1.0
75,LikePlusToOrIng,like V.INF / V-ing,A1,VERBS,"Referring to actions, events or states",1,2,0.5
75,LikePlusToOrIng,like V.INF / V-ing,A1,VERBS,"Referring to actions, states or relations",1,2,0.5
76,WouldLikeTo,would like to V.INF,A1,VERBS,Expressing preference,2,2,1.0
76,WouldLikeTo,would like to V.INF,A1,VERBS,"Referring to actions, events or states",1,2,0.5
76,WouldLikeTo,would like to V.INF,A1,VERBS,Other: making sugestions,1,2,0.5
76,WouldLikeTo,would like to V.INF,A1,VERBS,"Referring to actions, states or relations",1,2,0.5
77,VeryPlusAdjective,very ADJ,A1,ADVERBS,Describing,2,2,1.0
77,VeryPlusAdjective,very ADJ,A1,ADVERBS,Expressing degree,2,2,1.0
77,VeryPlusAdjective,very ADJ,A1,ADVERBS,Expressing ability,1,2,0.5
77,VeryPlusAdjective,very ADJ,A1,ADVERBS,Expressing preference,1,2,0.5
77,VeryPlusAdjective,very ADJ,A1,ADVERBS,Expressing probability,1,2,0.5
78,VeryPlusAdverb,very ADV,A1,ADVERBS,Expressing degree,2,2,1.0
78,VeryPlusAdverb,very ADV,A1,ADVERBS,Reporting information,1,2,0.5
79,VeryTimePlusAdverb,very ADV.TIME,A1,ADVERBS,Describing,2,2,1.0
